category,prompt,run,scenario,trial,run_folder,coverage_pct,collisions_total,coverage_csv,bump_csv
medium,prompt_1,run_3,middle_circle,trial_1,run_20260417_214907,54.0,26,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_3/middle_circle/trial_1/run_20260417_214907/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_3/middle_circle/trial_1/run_20260417_214907/bumps_global_214907.csv
medium,prompt_1,run_3,middle_circle,trial_2,run_20260417_215232,61.0,20,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_3/middle_circle/trial_2/run_20260417_215232/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_3/middle_circle/trial_2/run_20260417_215232/bumps_global_215232.csv
medium,prompt_1,run_3,middle_circle,trial_3,run_20260417_215557,50.0,45,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_3/middle_circle/trial_3/run_20260417_215557/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_1/run_3/middle_circle/trial_3/run_20260417_215557/bumps_global_215557.csv
medium,prompt_2,run_1,middle_circle,trial_1,run_20260417_220936,52.0,30,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_1/middle_circle/trial_1/run_20260417_220936/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_1/middle_circle/trial_1/run_20260417_220936/bumps_global_220937.csv
medium,prompt_2,run_1,middle_circle,trial_2,run_20260417_221301,51.0,17,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_1/middle_circle/trial_2/run_20260417_221301/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_1/middle_circle/trial_2/run_20260417_221301/bumps_global_221301.csv
medium,prompt_2,run_1,middle_circle,trial_3,run_20260417_221626,51.0,30,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_1/middle_circle/trial_3/run_20260417_221626/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_1/middle_circle/trial_3/run_20260417_221626/bumps_global_221626.csv
medium,prompt_2,run_2,middle_circle,trial_1,run_20260417_223006,53.0,22,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_2/middle_circle/trial_1/run_20260417_223006/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_2/middle_circle/trial_1/run_20260417_223006/bumps_global_223006.csv
medium,prompt_2,run_2,middle_circle,trial_2,run_20260417_223330,52.0,30,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_2/middle_circle/trial_2/run_20260417_223330/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_2/middle_circle/trial_2/run_20260417_223330/bumps_global_223331.csv
medium,prompt_2,run_2,middle_circle,trial_3,run_20260417_223655,46.0,32,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_2/middle_circle/trial_3/run_20260417_223655/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_2/middle_circle/trial_3/run_20260417_223655/bumps_global_223656.csv
medium,prompt_2,run_3,middle_circle,trial_1,run_20260417_225035,58.0,13,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_3/middle_circle/trial_1/run_20260417_225035/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_3/middle_circle/trial_1/run_20260417_225035/bumps_global_225035.csv
medium,prompt_2,run_3,middle_circle,trial_2,run_20260417_225400,54.0,22,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_3/middle_circle/trial_2/run_20260417_225400/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_3/middle_circle/trial_2/run_20260417_225400/bumps_global_225400.csv
medium,prompt_2,run_3,middle_circle,trial_3,run_20260417_225725,59.0,42,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_3/middle_circle/trial_3/run_20260417_225725/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/results_exp/explore/medium/prompt_2/run_3/middle_circle/trial_3/run_20260417_225725/bumps_global_225725.csv
