controller,prompt,run,trial,sim_run,coverage_pct,collisions_total,pareto_optimal,sim_dir,coverage_csv,bump_csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_10,run_20260429_041050,51.0,71,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_10/run_20260429_041050,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_10/run_20260429_041050/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_10/run_20260429_041050/bumps_global_041051.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_11,run_20260429_041554,50.0,66,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_11/run_20260429_041554,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_11/run_20260429_041554/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_11/run_20260429_041554/bumps_global_041555.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_12,run_20260429_042058,43.0,89,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_12/run_20260429_042058,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_12/run_20260429_042058/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_12/run_20260429_042058/bumps_global_042058.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_13,run_20260429_042601,55.0,37,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_13/run_20260429_042601,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_13/run_20260429_042601/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_13/run_20260429_042601/bumps_global_042602.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_14,run_20260429_043105,54.0,34,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_14/run_20260429_043105,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_14/run_20260429_043105/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_14/run_20260429_043105/bumps_global_043105.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_15,run_20260429_043608,53.0,59,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_15/run_20260429_043608,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_15/run_20260429_043608/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_15/run_20260429_043608/bumps_global_043609.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_16,run_20260429_044112,63.0,53,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_16/run_20260429_044112,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_16/run_20260429_044112/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_16/run_20260429_044112/bumps_global_044112.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_17,run_20260429_044616,62.0,48,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_17/run_20260429_044616,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_17/run_20260429_044616/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_17/run_20260429_044616/bumps_global_044616.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_18,run_20260429_045119,56.0,63,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_18/run_20260429_045119,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_18/run_20260429_045119/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_18/run_20260429_045119/bumps_global_045120.csv
gpt-5.4 prompt_3 run_1,prompt_3,run_1,trial_19,run_20260429_045623,53.0,64,False,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_19/run_20260429_045623,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_19/run_20260429_045623/coverage_timeseries.csv,/home/ecem/ros2_ws/src/Leo_sct/LAST_PROMPTS/gpt-5.4/prompt_3/run_1/trial_19/run_20260429_045623/bumps_global_045623.csv
