wall_time,source,target,decision,skip_reason,warning_zone,distance_m,confidence,raw_detection,raw_message
1783680811.087470,robot_3,robot_0,sent,,CORNER,0.979568,,global_pose,"bearing_deg=24.958,zone_reason=front_sector"
1783680811.187351,robot_3,robot_0,sent,,CORNER,0.989051,,global_pose,"bearing_deg=21.813,zone_reason=front_sector"
1783680811.287428,robot_3,robot_0,sent,,CORNER,0.999127,,global_pose,"bearing_deg=18.681,zone_reason=front_sector"
1783680811.387280,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.009764,,global_pose,"bearing_deg=15.560,zone_reason=front_sector"
1783680811.487307,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.020929,,global_pose,"bearing_deg=12.448,zone_reason=front_sector"
1783680811.587285,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.032585,,global_pose,"bearing_deg=9.345,zone_reason=front_sector"
1783680811.687351,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.044697,,global_pose,"bearing_deg=6.249,zone_reason=front_sector"
1783680811.787323,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.057194,,global_pose,"bearing_deg=3.159,zone_reason=front_sector"
1783680811.887288,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.069990,,global_pose,"bearing_deg=0.076,zone_reason=front_sector"
1783680811.987326,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.081752,,global_pose,"bearing_deg=-2.988,zone_reason=front_sector"
1783680812.087272,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.079670,,global_pose,"bearing_deg=-4.734,zone_reason=front_sector"
1783680812.187292,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.055310,,global_pose,"bearing_deg=-5.224,zone_reason=front_sector"
1783680812.287368,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.035069,,global_pose,"bearing_deg=-4.900,zone_reason=front_sector"
1783680812.387314,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.017877,,global_pose,"bearing_deg=-4.362,zone_reason=front_sector"
1783680812.487273,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.000522,,global_pose,"bearing_deg=-3.793,zone_reason=front_sector"
1783680812.587445,robot_3,robot_0,sent,,CORNER,0.983002,,global_pose,"bearing_deg=-3.190,zone_reason=front_sector"
1783680812.687314,robot_3,robot_0,sent,,CORNER,0.959560,,global_pose,"bearing_deg=-3.171,zone_reason=front_sector"
1783680812.787303,robot_3,robot_0,sent,,CORNER,0.943890,,global_pose,"bearing_deg=-4.311,zone_reason=front_sector"
1783680812.887356,robot_3,robot_0,sent,,CORNER,0.947226,,global_pose,"bearing_deg=-7.059,zone_reason=front_sector"
1783680812.987332,robot_3,robot_0,sent,,CORNER,0.959636,,global_pose,"bearing_deg=-10.005,zone_reason=front_sector"
1783680813.087349,robot_3,robot_0,sent,,CORNER,0.972029,,global_pose,"bearing_deg=-12.938,zone_reason=front_sector"
1783680813.187336,robot_3,robot_0,sent,,CORNER,0.980247,,global_pose,"bearing_deg=-16.148,zone_reason=front_sector"
1783680813.287320,robot_3,robot_0,sent,,CORNER,0.992058,,global_pose,"bearing_deg=-19.075,zone_reason=front_sector"
1783680813.387352,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.004227,,global_pose,"bearing_deg=-21.957,zone_reason=front_sector"
1783680813.487257,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.016299,,global_pose,"bearing_deg=-24.825,zone_reason=front_sector"
1783680813.587256,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.028257,,global_pose,"bearing_deg=-27.680,zone_reason=front_sector"
1783680813.687344,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.035769,,global_pose,"bearing_deg=-30.793,zone_reason=front_sector"
1783680813.787272,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.046946,,global_pose,"bearing_deg=-33.648,zone_reason=front_sector"
1783680813.887263,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.058416,,global_pose,"bearing_deg=-36.466,zone_reason=front_sector"
1783680813.987295,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.069710,,global_pose,"bearing_deg=-39.274,zone_reason=front_sector"
1783680814.087330,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.085106,,global_pose,"bearing_deg=-41.814,zone_reason=front_sector"
1783680814.187375,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.079249,,global_pose,"bearing_deg=-44.348,zone_reason=front_sector"
1783680814.287316,robot_3,robot_0,skipped,distance_above_warning_threshold,CORNER,1.068296,,global_pose,"bearing_deg=-45.388,zone_reason=front_sector"
