frame_index,time_s,robot,x,y
382,12.733,robot_2,0.1791,0.3304
384,12.800,robot_0,0.1872,1.7179
384,12.800,robot_1,1.0232,0.7660
384,12.800,robot_2,0.1791,0.3304
386,12.867,robot_0,0.1872,1.7179
386,12.867,robot_1,1.0213,0.7638
386,12.867,robot_2,0.1791,0.3304
388,12.933,robot_0,0.1872,1.7179
388,12.933,robot_1,1.0214,0.7632
388,12.933,robot_2,0.1791,0.3304
390,13.000,robot_0,0.1872,1.7179
390,13.000,robot_1,1.0214,0.7632
390,13.000,robot_2,0.1791,0.3304
392,13.067,robot_0,0.1872,1.7179
392,13.067,robot_1,1.0214,0.7632
392,13.067,robot_2,0.1791,0.3304
394,13.133,robot_0,0.1872,1.7179
394,13.133,robot_1,1.0214,0.7632
394,13.133,robot_2,0.1791,0.3304
396,13.200,robot_0,0.1872,1.7179
396,13.200,robot_1,1.0214,0.7632
396,13.200,robot_2,0.1791,0.3304
398,13.267,robot_0,0.1872,1.7179
398,13.267,robot_1,1.0214,0.7632
398,13.267,robot_2,0.1791,0.3304
400,13.333,robot_0,0.1872,1.7179
400,13.333,robot_1,1.0214,0.7632
400,13.333,robot_2,0.1791,0.3304
402,13.400,robot_0,0.1872,1.7179
402,13.400,robot_1,1.0214,0.7632
402,13.400,robot_2,0.1791,0.3304
404,13.467,robot_0,0.1872,1.7179
404,13.467,robot_1,1.0214,0.7632
404,13.467,robot_2,0.1791,0.3304
406,13.533,robot_0,0.1872,1.7179
406,13.533,robot_1,1.0214,0.7632
406,13.533,robot_2,0.1791,0.3304
408,13.600,robot_0,0.1872,1.7179
408,13.600,robot_1,1.0214,0.7632
408,13.600,robot_2,0.1791,0.3304
410,13.667,robot_0,0.1872,1.7179
410,13.667,robot_1,1.0214,0.7632
410,13.667,robot_2,0.1791,0.3304
412,13.733,robot_0,0.1872,1.7179
412,13.733,robot_1,1.0214,0.7632
412,13.733,robot_2,0.1791,0.3304
414,13.800,robot_0,0.1872,1.7179
414,13.800,robot_1,1.0214,0.7632
414,13.800,robot_2,0.1791,0.3304
416,13.867,robot_0,0.1872,1.7179
416,13.867,robot_1,1.0214,0.7632
416,13.867,robot_2,0.1791,0.3304
418,13.933,robot_0,0.1872,1.7179
418,13.933,robot_1,1.0214,0.7632
418,13.933,robot_2,0.1791,0.3304
420,14.000,robot_0,0.1872,1.7179
420,14.000,robot_1,1.0213,0.7638
420,14.000,robot_2,0.1791,0.3304
422,14.067,robot_0,0.1872,1.7179
422,14.067,robot_1,1.0213,0.7638
422,14.067,robot_2,0.1791,0.3304
424,14.133,robot_0,0.1872,1.7179
424,14.133,robot_1,1.0373,0.7658
424,14.133,robot_2,0.1791,0.3304
426,14.200,robot_0,0.1872,1.7179
426,14.200,robot_1,1.0556,0.7643
426,14.200,robot_2,0.1791,0.3304
428,14.267,robot_0,0.1872,1.7179
428,14.267,robot_1,1.0673,0.7695
428,14.267,robot_2,0.1791,0.3304
430,14.333,robot_0,0.1872,1.7179
430,14.333,robot_1,1.1002,0.7740
430,14.333,robot_2,0.1791,0.3304
432,14.400,robot_0,0.1872,1.7179
432,14.400,robot_1,1.1262,0.7762
432,14.400,robot_2,0.1791,0.3304
434,14.467,robot_0,0.1872,1.7179
434,14.467,robot_2,0.1791,0.3304
436,14.533,robot_0,0.1872,1.7179
436,14.533,robot_1,1.1783,0.7774
436,14.533,robot_2,0.1791,0.3304
438,14.600,robot_0,0.1872,1.7179
438,14.600,robot_1,1.2033,0.7815
438,14.600,robot_2,0.1791,0.3304
440,14.667,robot_0,0.1872,1.7179
440,14.667,robot_1,1.2153,0.7835
440,14.667,robot_2,0.1791,0.3304
442,14.733,robot_0,0.1872,1.7179
442,14.733,robot_2,0.1791,0.3304
