wall_time,robot,reasons,raw_zone,effective_zone,peer_warning_zone,peer_warning_age_s,front_distance_m,distance_age_s,cbf_safety_distance_m,cbf_alpha,requested_linear_x,requested_angular_z,filtered_linear_x,filtered_angular_z
1783687811.163012,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006514,0.879109,0.438538,0.600000,1.200000,-0.080000,-0.650000,0.000000,-0.650000
1783687811.262766,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006035,0.861837,0.057554,0.600000,1.200000,-0.080000,-0.650000,0.000000,-0.650000
1783687811.362478,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.004134,0.861837,0.157359,0.600000,1.200000,-0.080000,-0.650000,0.000000,-0.650000
1783687811.462556,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.005157,0.861837,0.257386,0.600000,1.200000,-0.080000,-0.650000,0.000000,-0.650000
1783687811.562588,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.004689,0.861837,0.357484,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687811.662484,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.005896,0.861837,0.457380,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687811.762584,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.005954,0.875237,0.086529,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687811.862405,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.005356,0.875237,0.186371,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687811.962431,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.004825,0.875237,0.286409,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687812.062609,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006227,0.875237,0.386505,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687812.162418,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006071,0.875237,0.486373,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687812.262544,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006192,0.875237,0.586471,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687812.362644,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.005951,0.875981,0.064551,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687812.462579,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.005733,0.875981,0.164492,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687812.562599,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006128,0.875981,0.264571,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687812.662412,robot_0,peer_warning_stop_backward,CORNER,CORNER,BACK,0.006097,0.875981,0.364391,0.600000,1.200000,-0.080000,0.650000,0.000000,0.650000
1783687812.762610,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.006345,0.861667,0.070552,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687812.862571,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.005891,0.861667,0.170507,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687812.962696,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.105998,0.861667,0.270583,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687813.062671,robot_0,peer_warning_turn_away_left|peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.205981,0.861667,0.370582,0.600000,1.200000,-0.080000,0.650000,-0.080000,-0.650000
1783687813.162720,robot_0,peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.306026,0.861667,0.470632,0.600000,1.200000,-0.080000,-0.650000,-0.080000,-0.650000
1783687813.262570,robot_0,peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.405903,0.895109,0.067607,0.600000,1.200000,-0.080000,-0.650000,-0.080000,-0.650000
1783687813.362500,robot_0,peer_warning_pass_slow_side,CORNER,CORNER,LEFT,0.505851,0.895109,0.167568,0.600000,1.200000,-0.080000,-0.650000,-0.080000,-0.650000
1783687813.762425,robot_0,turn_right_blocked,RIGHT,RIGHT,CLEAR,0.905777,0.919930,0.036318,0.600000,1.200000,-0.080000,-0.650000,-0.080000,0.000000
1783687814.162649,robot_0,stale_distance_stop,RIGHT,RIGHT,CLEAR,1.305956,0.919930,0.436495,0.600000,1.200000,0.160000,0.250000,0.000000,0.250000
1783687814.662456,robot_0,stale_distance_stop,RIGHT,RIGHT,CLEAR,1.805791,0.932983,0.420895,0.600000,1.200000,0.160000,0.250000,0.000000,0.250000
1783687816.162697,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,3.305986,0.901864,0.463977,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
1783687817.662426,robot_0,stale_distance_stop,LEFT,LEFT,CLEAR,4.805766,0.932060,0.463878,0.600000,1.200000,0.160000,-0.250000,0.000000,-0.250000
